Max Power,Location,Price,Drivetrain,Year,Seating Capacity,Owner,Fuel Tank Capacity,Transmission,Model,Height,Max Torque,Fuel Type,Color,Kilometer,Engine,Width,Length,Seller Type,Audi,BMW,Chevrolet,Datsun,Ferrari,Fiat,Ford,Honda,Hyundai,Isuzu,Jaguar,Jeep,Kia,Lamborghini,Land Rover,Lexus,MG,MINI,Mahindra,Maruti Suzuki,Maserati,Mercedes-Benz,Mitsubishi,Nissan,Porsche,Renault,Rolls-Royce,Skoda,Ssangyong,Tata,Toyota,Volkswagen,Volvo,Make,CNG,CNG + CNG,Diesel,Electric,Hybrid,LPG,Petrol,Petrol + CNG,Petrol + LPG,Automatic,Manual,4 or More,First,Fourth,Second,Third,UnRegistered Car,2.0,4.0,5.0,6.0,7.0,8.0
100 bhp @ 3600 rpm,Ahmedabad,-0.2905773368687632,RWD,-0.7212702800919405,2.1006237494119957,Second,0.20412654122439455,Manual,Innova 2.5 ZX 7 STR BS-IV,1.2565607849229106,200 Nm @ 1400 rpm,Diesel,Silver,1.8216096098904986,2494 cc,-0.06003878511217088,0.6984987899597772,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3600 rpm,Bangalore,-0.17070760282079547,RWD,-0.7212702800919405,2.1006237494119957,Second,0.20412654122439455,Manual,Innova 2.5 VX 7 STR BS-III,1.2565607849229106,200 Nm @ 1400 rpm,Diesel,Silver,0.5366429205897981,2494 cc,-0.06003878511217088,0.6984987899597772,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3600 rpm,Delhi,-0.3939133144963216,RWD,-0.7212702800919405,2.1006237494119957,First,0.20412654122439455,Manual,Innova 2.5 G 7 STR BS-IV,1.2565607849229106,200 Nm @ 1400 rpm,Diesel,Silver,1.2515789263073815,2494 cc,-0.06003878511217088,0.6984987899597772,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Ahmedabad,-0.44351458375754965,RWD,-0.4238943276070906,2.1006237494119957,Second,0.5445882115388361,Manual,TUV300 T6 Plus,1.8465141419323228,240 Nm @ 1600 rpm,Diesel,White,1.0656781273572558,1493 cc,0.5033896658667828,-0.6565191920398937,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Bhopal,-0.35257892344529823,RWD,0.765609482332309,2.1006237494119957,First,0.5445882115388361,Manual,TUV300 T6 Plus,1.8465141419323228,240 Nm @ 1600 rpm,Diesel,White,0.5478203347279682,1493 cc,0.5033896658667828,-0.6565191920398937,Commercial Registration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Delhi,-0.44971474241520315,RWD,0.17085757736260918,2.1006237494119957,First,0.5445882115388361,Automatic,TUV300 T8 AMT mHAWK100,1.8465141419323228,240 Nm @ 1600 rpm,Diesel,Black,0.2576435037243998,1493 cc,0.5033896658667828,-0.6565191920398937,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Hyderabad,-0.31331166529073656,RWD,0.765609482332309,2.1006237494119957,First,0.5445882115388361,Manual,TUV300 T10,1.6822233336512207,240 Nm @ 1600 rpm,Diesel,White,0.5889553112520604,1493 cc,0.20289449201134083,-0.6565191920398937,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Kolkata,-0.6047187088565407,RWD,-1.0186462325767904,2.1006237494119957,Second,0.20412654122439455,Manual,Quanto C8,2.152692466456195,240 Nm @ 1600 rpm,Diesel,Maroon,-0.04751210847212969,1493 cc,0.6160753560625735,-0.6794855985144644,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Kolkata,-0.6009986136619486,RWD,-1.0186462325767904,2.1006237494119957,First,0.20412654122439455,Manual,Quanto C4,2.152692466456195,240 Nm @ 1600 rpm,Diesel,Red,0.1007063317376132,1493 cc,0.6160753560625735,-0.6794855985144644,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Mumbai,-0.37944627762846345,RWD,0.17085757736260918,2.1006237494119957,First,0.5445882115388361,Manual,TUV300 T10,1.8465141419323228,240 Nm @ 1600 rpm,Diesel,White,-0.17829308512778516,1493 cc,0.5033896658667828,-0.6565191920398937,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
