Location,Length,Model,Max Power,Fuel Tank Capacity,Drivetrain,Seller Type,Engine,Fuel Type,Seating Capacity,Max Torque,Color,Owner,Transmission,Year,Kilometer,Price,Height,Width,Audi,BMW,Chevrolet,Datsun,Ferrari,Fiat,Ford,Honda,Hyundai,Isuzu,Jaguar,Jeep,Kia,Lamborghini,Land Rover,Lexus,MG,MINI,Mahindra,Maruti Suzuki,Maserati,Mercedes-Benz,Mitsubishi,Nissan,Porsche,Renault,Rolls-Royce,Skoda,Ssangyong,Tata,Toyota,Volkswagen,Volvo,Make,CNG,CNG + CNG,Diesel,Electric,Hybrid,LPG,Petrol,Petrol + CNG,Petrol + LPG,Automatic,Manual,4 or More,First,Fourth,Second,Third,UnRegistered Car,2.0,4.0,5.0,6.0,7.0,8.0
Agra,0.17813765182186234,Wagon R LXi,68@6200,0.2222222222222222,FWD,Individual,998 cc,Petrol,0.5,90@3500,Brown,First,Manual,0.7058823529411765,0.027,0.004892563875139481,0.6445783132530121,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Agra,0.20242914979757085,Wagon R LXI CNG,58 bhp @ 6200 rpm,0.2222222222222222,FWD,Individual,998 cc,CNG,0.5,77 Nm @ 3500 rpm,Grey,First,Manual,0.8529411764705882,0.0215,0.010042631112128409,0.6445783132530121,0.026845637583892617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Agra,0.2068825910931174,Santro Sportz CNG [2018-2020],58 bhp @ 5500 rpm,0.5,FWD,Individual,1086 cc,CNG,0.5,84 Nm @ 4500 rpm,Silver,First,Manual,0.9117647058823529,0.023,0.012760722153872564,0.4759036144578313,0.22818791946308725,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hyundai,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Agra,0.3020242914979757,Swift ZXi Plus AMT,89 bhp @ 6000 rpm,0.24444444444444444,FWD,Individual,1197 cc,Petrol,0.5,113 Nm @ 4400 rpm,Grey,First,Automatic,0.9705882352941176,0.012,0.02077193785585534,0.4397590361445783,0.348993288590604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Agra,0.34048582995951415,i20 Sportz 1.4 CRDI,90@4000,0.3333333333333333,FWD,Individual,1396 cc,Diesel,0.5,220@1750,Silver,First,Manual,0.7647058823529411,0.034,0.010328717347143144,0.40963855421686746,0.31543624161073824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hyundai,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Agra,0.35870445344129553,Thar LX 4-STR Hard Top Petrol MT,150 bhp @ 5000 rpm,0.4666666666666667,AWD,Individual,1997 cc,Petrol,0.3333333333333333,300 Nm @ 1250 rpm,Red,Second,Manual,0.9705882352941176,0.004,0.04151526422706074,0.8180722891566266,0.46308724832214765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Agra,0.362753036437247,Elite i20 Sportz 1.5 MT Diesel,99 bhp @ 4000 rpm,0.24444444444444444,FWD,Individual,1493 cc,Diesel,0.5,240 Nm @ 1500 rpm,White,First,Manual,0.9705882352941176,0.0215,0.022202512088352264,0.40963855421686746,0.40268456375838924,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hyundai,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Agra,0.362753036437247,Swift DZire VDI,74 bhp @ 4000 rpm,0.3,FWD,Individual,1248 cc,Diesel,0.5,190 Nm @ 2000 rpm,White,First,Manual,0.7647058823529411,0.032,0.010042631112128409,0.46987951807228917,0.2953020134228188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Agra,0.362753036437247,XUV300 1.5 W6 [2019-2020],115 bhp @ 3750 rpm,0.3,FWD,Individual,1497 cc,Diesel,0.5,300 Nm @ 1500 rpm,White,First,Manual,0.9411764705882353,0.0287,0.025778947669594574,0.5566265060240964,0.46442953020134226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Agra,0.362753036437247,i20 Active 1.4 SX,89 bhp @ 4000 rpm,0.3333333333333333,FWD,Individual,1396 cc,Diesel,0.5,220 Nm @ 1500 rpm,Silver,First,Manual,0.7941176470588235,0.0295,0.014048238963119797,0.46987951807228917,0.3825503355704698,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hyundai,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
